journals.Deities.pages.Vesper.text	main+twin	BEFORE 野兽时代->Zeph | 泽夫->Age of Beasts	AFTER 野兽时代->Age of Beasts | 泽夫->Zeph
journals.Deities.pages.Vhismara.contentGamemaster	main+twin	BEFORE 深渊裂斩->Cosmos | 寰宇->Abyssal Shear	AFTER 深渊裂斩->Abyssal Shear | 寰宇->Cosmos
journals.Ember's Bounty.pages.Gameplay Details.text	main+twin	BEFORE 游戏室->Wind Raider Boarder | 风袭者->The Game Room	AFTER 游戏室->The Game Room | 风袭者->Wind Raider Boarder
journals.Ember's Bounty.pages.Kasta's Alterations.text	main+twin	BEFORE 修补->None | 狂热邪教徒->None	AFTER 修补->None | 狂热邪教徒->None
journals.Gamemaster's Guide.pages.Death and Soulbound.text	main+twin	BEFORE 迷炉商队->Agraband Swift | 阿格拉班德·斯威夫特->Strayhearth Caravan	AFTER 迷炉商队->Strayhearth Caravan | 阿格拉班德·斯威夫特->Agraband Swift
journals.Gamemaster's Guide.pages.Starting the Game.text	main+twin	BEFORE 蜿蜒小径->Sheltered Campsite | 有遮蔽的营地->The Winding Trail	AFTER 蜿蜒小径->The Winding Trail | 有遮蔽的营地->Sheltered Campsite
journals.Glitter in the Dark.pages.The Story So Far.text	twin	BEFORE 泽拉尼丝->Inkaro Pearl, White | 因卡罗珍珠->House Cevher | 杰夫赫尔家族->JournalEntry.FYP2Af9bY4B9lSqi.JournalEntryPage.v6lXjfETDkrt0J7E	AFTER 泽拉尼丝->JournalEntry.FYP2Af9bY4B9lSqi.JournalEntryPage.v6lXjfETDkrt0J7E | 因卡罗珍珠->Inkaro Pearl, White | 杰夫赫尔家族->House Cevher
journals.History.pages.Age of Rediscovery.contentGamemaster	main+twin	BEFORE 卢梅克->Leviathans | 利维坦->Lumek | Calyn Kariset->Corwin Kawn | Corwin Kawn->Calyn Kariset	AFTER 卢梅克->Lumek | 利维坦->Leviathans | Calyn Kariset->Calyn Kariset | Corwin Kawn->Corwin Kawn
journals.History.pages.Age of Rediscovery.text	twin	BEFORE 野兽时代->Leviathans | 利维坦->Age of Beasts	AFTER 野兽时代->Age of Beasts | 利维坦->Leviathans
journals.History.pages.Age of the Tower.contentGamemaster	main+twin	BEFORE 碎片诸神->Solaru | 艾迪尔万神殿->Shard Gods	AFTER 碎片诸神->Shard Gods | 艾迪尔万神殿->Solaru
journals.History.pages.Night of Swords.text	main+twin	BEFORE 塔扬诸王国->Cruel Dragons | 残酷龙->Tayan	AFTER 塔扬诸王国->Tayan | 残酷龙->Cruel Dragons
journals.History.pages.The First Dawn.text	main+twin	BEFORE 卢克萨鲁姆->Tyraphem | 提拉斐姆->Luxarum | 西格纳拉->Daemos | 戴莫斯->Fiend | 邪魔->Signara | 普里莫迪斯->Casia | Casia->Primordis	AFTER 卢克萨鲁姆->Luxarum | 提拉斐姆->Tyraphem | 西格纳拉->Signara | 戴莫斯->Daemos | 邪魔->Fiend | 普里莫迪斯->Primordis | Casia->Casia
journals.History.pages.The Unveiling.contentGamemaster	main+twin	BEFORE 沙纳山脉->Trolls | Trolls->Shana Mountains	AFTER 沙纳山脉->Shana Mountains | Trolls->Trolls
journals.Lightless Halls.pages.Mural of Volcanic Glass.text	twin	BEFORE 虚空之桥->Treasure Room | 宝藏室->Void Bridge	AFTER 虚空之桥->Void Bridge | 宝藏室->Treasure Room
journals.Mythspire Observatory.pages.Central Room.text	main+twin	BEFORE 多重攻击->Bite | 啃咬->Claw | 爪->Multiattack	AFTER 多重攻击->Multiattack | 啃咬->Bite | 爪->Claw
journals.Organizations.pages.Silver Beam Consortium.text	main+twin	BEFORE 奥尔丹->Ordani | 奥尔达尼->Ordain	AFTER 奥尔丹->Ordain | 奥尔达尼->Ordani
journals.Players' Guide.pages.Creation Overview.text	main+twin	BEFORE 奥尔丹->Arcturian | 阿克图里亚人->Caravanner | 商队旅人->Ordain | 卡伦阿克->Tayan | 塔扬->Star Dreamer | 星辰逐梦者->Caren'ac	AFTER 奥尔丹->Ordain | 阿克图里亚人->Arcturian | 商队旅人->Caravanner | 卡伦阿克->Caren'ac | 塔扬->Tayan | 星辰逐梦者->Star Dreamer
journals.Players' Guide.pages.The Codex.text	main+twin	BEFORE 区域地图->Quests and Events | 事件->Region Exploration	AFTER 区域地图->Region Exploration | 事件->Quests and Events
journals.Smoldering Cinders.pages.Sagacious Initiation.text	twin	BEFORE 辛达林神殿->Cindaric Sages | 辛达里克贤者->Cindarin Temple	AFTER 辛达林神殿->Cindarin Temple | 辛达里克贤者->Cindaric Sages
journals.Smoldering Cinders.pages.Sage Advice.text	main+twin	BEFORE 辛达林神殿->Lilla Arien | 莉拉·艾瑞恩->Cindarin Temple | 秘密尸检->Lilla Arien | 失职守卫者->The Secret Autopsy | 莉拉·艾瑞恩->The Derelict Protector	AFTER 辛达林神殿->Cindarin Temple | 莉拉·艾瑞恩->Lilla Arien | 秘密尸检->The Secret Autopsy | 失职守卫者->The Derelict Protector | 莉拉·艾瑞恩->Lilla Arien
