pack	path	pos	label	from_doc	to_doc	source
ember.adventure.json	entries.Ember Early Access.journals.Deities.pages.Spectra.text	12	西格纳拉	Daemos	Signara	auto
ember.adventure.json	entries.Ember Early Access.journals.Deities.pages.Spectra.text	13	戴莫斯	Signara	Daemos	auto
ember.adventure.json	entries.Ember Early Access.journals.Deities.pages.Vesper.text	2	野兽时代	Zeph	Age of Beasts	auto
ember.adventure.json	entries.Ember Early Access.journals.Deities.pages.Vesper.text	3	泽夫	Age of Beasts	Zeph	auto
ember.adventure.json	entries.Ember Early Access.journals.Deities.pages.Vhismara.contentGamemaster	0	深渊裂斩	Cosmos	Abyssal Shear	auto
ember.adventure.json	entries.Ember Early Access.journals.Deities.pages.Vhismara.contentGamemaster	1	寰宇	Abyssal Shear	Cosmos	auto
ember.adventure.json	entries.Ember Early Access.journals.Ember's Bounty.pages.Gameplay Details.text	3	游戏室	Wind Raider Boarder	The Game Room	auto
ember.adventure.json	entries.Ember Early Access.journals.Ember's Bounty.pages.Gameplay Details.text	4	风袭者	The Game Room	Wind Raider Boarder	auto
ember.adventure.json	entries.Ember Early Access.journals.Ember's Bounty.pages.Kasta's Alterations.text	0	修补	None	None	auto
ember.adventure.json	entries.Ember Early Access.journals.Ember's Bounty.pages.Kasta's Alterations.text	1	狂热邪教徒	None	None	auto
ember.adventure.json	entries.Ember Early Access.journals.Gamemaster's Guide.pages.Death and Soulbound.text	8	迷炉商队	Agraband Swift	Strayhearth Caravan	auto
ember.adventure.json	entries.Ember Early Access.journals.Gamemaster's Guide.pages.Death and Soulbound.text	9	阿格拉班德·斯威夫特	Strayhearth Caravan	Agraband Swift	auto
ember.adventure.json	entries.Ember Early Access.journals.Gamemaster's Guide.pages.Starting the Game.text	4	蜿蜒小径	Sheltered Campsite	The Winding Trail	auto
ember.adventure.json	entries.Ember Early Access.journals.Gamemaster's Guide.pages.Starting the Game.text	5	有遮蔽的营地	The Winding Trail	Sheltered Campsite	auto
ember.adventure.json	entries.Ember Early Access.journals.Glitter in the Dark.pages.The Story So Far.text	3	泽拉尼丝	Inkaro Pearl, White	JournalEntry.FYP2Af9bY4B9lSqi.JournalEntryPage.v6lXjfETDkrt0J7E	manual
ember.adventure.json	entries.Ember Early Access.journals.Glitter in the Dark.pages.The Story So Far.text	4	因卡罗珍珠	House Cevher	Inkaro Pearl, White	manual
ember.adventure.json	entries.Ember Early Access.journals.Glitter in the Dark.pages.The Story So Far.text	5	杰夫赫尔家族	JournalEntry.FYP2Af9bY4B9lSqi.JournalEntryPage.v6lXjfETDkrt0J7E	House Cevher	manual
ember.adventure.json	entries.Ember Early Access.journals.History.pages.Age of Rediscovery.contentGamemaster	43	卢梅克	Leviathans	Lumek	auto
ember.adventure.json	entries.Ember Early Access.journals.History.pages.Age of Rediscovery.contentGamemaster	44	利维坦	Lumek	Leviathans	auto
ember.adventure.json	entries.Ember Early Access.journals.History.pages.Age of Rediscovery.contentGamemaster	53	Calyn Kariset	Corwin Kawn	Calyn Kariset	auto
ember.adventure.json	entries.Ember Early Access.journals.History.pages.Age of Rediscovery.contentGamemaster	54	Corwin Kawn	Calyn Kariset	Corwin Kawn	auto
ember.adventure.json	entries.Ember Early Access.journals.History.pages.Age of Rediscovery.text	9	野兽时代	Leviathans	Age of Beasts	auto
ember.adventure.json	entries.Ember Early Access.journals.History.pages.Age of Rediscovery.text	10	利维坦	Age of Beasts	Leviathans	auto
ember.adventure.json	entries.Ember Early Access.journals.History.pages.Age of the Tower.contentGamemaster	6	碎片诸神	Solaru	Shard Gods	manual
ember.adventure.json	entries.Ember Early Access.journals.History.pages.Age of the Tower.contentGamemaster	7	艾迪尔万神殿	Shard Gods	Solaru	manual
ember.adventure.json	entries.Ember Early Access.journals.History.pages.Night of Swords.text	3	塔扬诸王国	Cruel Dragons	Tayan	manual
ember.adventure.json	entries.Ember Early Access.journals.History.pages.Night of Swords.text	4	残酷龙	Tayan	Cruel Dragons	manual
ember.adventure.json	entries.Ember Early Access.journals.History.pages.The First Dawn.text	10	卢克萨鲁姆	Tyraphem	Luxarum	auto
ember.adventure.json	entries.Ember Early Access.journals.History.pages.The First Dawn.text	11	提拉斐姆	Luxarum	Tyraphem	auto
ember.adventure.json	entries.Ember Early Access.journals.History.pages.The First Dawn.text	12	西格纳拉	Daemos	Signara	auto
ember.adventure.json	entries.Ember Early Access.journals.History.pages.The First Dawn.text	13	戴莫斯	Fiend	Daemos	auto
ember.adventure.json	entries.Ember Early Access.journals.History.pages.The First Dawn.text	14	邪魔	Signara	Fiend	auto
ember.adventure.json	entries.Ember Early Access.journals.History.pages.The First Dawn.text	15	普里莫迪斯	Casia	Primordis	auto
ember.adventure.json	entries.Ember Early Access.journals.History.pages.The First Dawn.text	16	Casia	Primordis	Casia	auto
ember.adventure.json	entries.Ember Early Access.journals.History.pages.The Unveiling.contentGamemaster	8	沙纳山脉	Trolls	Shana Mountains	auto
ember.adventure.json	entries.Ember Early Access.journals.History.pages.The Unveiling.contentGamemaster	9	Trolls	Shana Mountains	Trolls	auto
ember.adventure.json	entries.Ember Early Access.journals.Lightless Halls.pages.Mural of Volcanic Glass.text	2	虚空之桥	Treasure Room	Void Bridge	auto
ember.adventure.json	entries.Ember Early Access.journals.Lightless Halls.pages.Mural of Volcanic Glass.text	3	宝藏室	Void Bridge	Treasure Room	auto
ember.adventure.json	entries.Ember Early Access.journals.Mythspire Observatory.pages.Central Room.text	10	多重攻击	Bite	Multiattack	auto
ember.adventure.json	entries.Ember Early Access.journals.Mythspire Observatory.pages.Central Room.text	11	啃咬	Claw	Bite	auto
ember.adventure.json	entries.Ember Early Access.journals.Mythspire Observatory.pages.Central Room.text	12	爪	Multiattack	Claw	auto
ember.adventure.json	entries.Ember Early Access.journals.Organizations.pages.Silver Beam Consortium.text	1	奥尔丹	Ordani	Ordain	auto
ember.adventure.json	entries.Ember Early Access.journals.Organizations.pages.Silver Beam Consortium.text	2	奥尔达尼	Ordain	Ordani	auto
ember.adventure.json	entries.Ember Early Access.journals.Players' Guide.pages.Creation Overview.text	20	奥尔丹	Arcturian	Ordain	manual
ember.adventure.json	entries.Ember Early Access.journals.Players' Guide.pages.Creation Overview.text	21	阿克图里亚人	Caravanner	Arcturian	manual
ember.adventure.json	entries.Ember Early Access.journals.Players' Guide.pages.Creation Overview.text	22	商队旅人	Ordain	Caravanner	manual
ember.adventure.json	entries.Ember Early Access.journals.Players' Guide.pages.Creation Overview.text	23	卡伦阿克	Tayan	Caren'ac	manual
ember.adventure.json	entries.Ember Early Access.journals.Players' Guide.pages.Creation Overview.text	24	塔扬	Star Dreamer	Tayan	manual
ember.adventure.json	entries.Ember Early Access.journals.Players' Guide.pages.Creation Overview.text	25	星辰逐梦者	Caren'ac	Star Dreamer	manual
ember.adventure.json	entries.Ember Early Access.journals.Players' Guide.pages.The Codex.text	0	区域地图	Quests and Events	Region Exploration	manual
ember.adventure.json	entries.Ember Early Access.journals.Players' Guide.pages.The Codex.text	1	事件	Region Exploration	Quests and Events	manual
ember.adventure.json	entries.Ember Early Access.journals.Smoldering Cinders.pages.Sagacious Initiation.text	0	辛达林神殿	Cindaric Sages	Cindarin Temple	auto
ember.adventure.json	entries.Ember Early Access.journals.Smoldering Cinders.pages.Sagacious Initiation.text	1	辛达里克贤者	Cindarin Temple	Cindaric Sages	auto
ember.adventure.json	entries.Ember Early Access.journals.Smoldering Cinders.pages.Sage Advice.text	0	辛达林神殿	Lilla Arien	Cindarin Temple	auto
ember.adventure.json	entries.Ember Early Access.journals.Smoldering Cinders.pages.Sage Advice.text	1	莉拉·艾瑞恩	Cindarin Temple	Lilla Arien	auto
ember.adventure.json	entries.Ember Early Access.journals.Smoldering Cinders.pages.Sage Advice.text	3	秘密尸检	Lilla Arien	The Secret Autopsy	auto
ember.adventure.json	entries.Ember Early Access.journals.Smoldering Cinders.pages.Sage Advice.text	4	失职守卫者	The Secret Autopsy	The Derelict Protector	auto
ember.adventure.json	entries.Ember Early Access.journals.Smoldering Cinders.pages.Sage Advice.text	5	莉拉·艾瑞恩	The Derelict Protector	Lilla Arien	auto
ember.crucible-adventure.json	entries.Ember Early Access.actors.Conaris Haid.biography.private	0	奥尔丹	Sockets	Ordain	manual
ember.crucible-adventure.json	entries.Ember Early Access.actors.Conaris Haid.biography.private	1	插孔神殿	Ordain	Sockets	manual
ember.crucible-adventure.json	entries.Ember Early Access.actors.Evesso.biography.private	0	埃维索的密室	Profane Altar	Evesso's Chamber	auto
ember.crucible-adventure.json	entries.Ember Early Access.actors.Evesso.biography.private	1	亵渎祭坛	Evesso's Chamber	Profane Altar	auto
ember.crucible-adventure.json	entries.Ember Early Access.actors.Oozeling.biography.private	1	石之森林	Dripstones	None	auto
ember.crucible-adventure.json	entries.Ember Early Access.actors.Oozeling.biography.private	2	滴石笋	None	Dripstones	auto
ember.crucible-adventure.json	entries.Ember Early Access.actors.Undaunted Trainee.biography.private	0	齐拉·赫斯提德罗	Maziran	Zira Hestidero	auto
ember.crucible-adventure.json	entries.Ember Early Access.actors.Undaunted Trainee.biography.private	1	马兹兰	Zira Hestidero	Maziran	auto
ember.crucible-adventure.json	entries.Ember Early Access.items.Barrel Room Key.description	0	余烬的恩赐	Barrel Room	Ember's Bounty	auto
ember.crucible-adventure.json	entries.Ember Early Access.items.Barrel Room Key.description	1	木桶房	Ember's Bounty	Barrel Room	auto
ember.crucible-adventure.json	entries.Ember Early Access.items.Dreth Sap.description.private	0	赫尔卡斯	Leviathans	Helkas	auto
ember.crucible-adventure.json	entries.Ember Early Access.items.Dreth Sap.description.private	1	利维坦	Helkas	Leviathans	auto
ember.crucible-adventure.json	entries.Ember Early Access.items.Toothbreaker Throne Room Key.description.private	0	碎牙帮藏身处	Raster's Throne Room	Toothbreaker Hideout	auto
ember.crucible-adventure.json	entries.Ember Early Access.items.Toothbreaker Throne Room Key.description.private	1	拉斯特的王座室	Toothbreaker Hideout	Raster's Throne Room	auto
ember.crucible-adventure.json	entries.Ember Early Access.items.Yakoshta Blue Track Lever.description.private	0	雅科什塔矿井	Makeshift Barricade	Yakoshta Mine	auto
ember.crucible-adventure.json	entries.Ember Early Access.items.Yakoshta Blue Track Lever.description.private	1	蓝轨道	Yakoshta Mine	Makeshift Barricade	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Ancestries.pages.Ashka.contentGamemaster	0	斯科里斯	Jarn	Scoris	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Ancestries.pages.Ashka.contentGamemaster	1	贾恩	Scoris	Jarn	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Ancient Paths.pages.Grim Findings.text	0	圣堂区	Veiled Chain	The Hallows	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Ancient Paths.pages.Grim Findings.text	1	帷幕锁链	The Hallows	Veiled Chain	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Ancient Paths.pages.Grim Findings.text	7	无形皮肤	Molted Dragon Skin	Impossible Skin	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Ancient Paths.pages.Grim Findings.text	8	蜕下的龙皮	Impossible Skin	Molted Dragon Skin	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Arcturel Tradeway.pages.Warehousing.text	1	垃圾场齿轮	The Scrapyard	Junkyard Cogs	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Arcturel Tradeway.pages.Warehousing.text	2	废料场	Junkyard Cogs	The Scrapyard	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Bestiary.pages.Leviathans.text	1	奥布里西尔	Shard Gods	Obrisire	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Bestiary.pages.Leviathans.text	2	碎片诸神	Obrisire	Shard Gods	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Chapter 2 Events.pages.Corrupted Depths.text	0	雾缚洞窟	Lake of Whispers	Fogbound Caverns	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Chapter 2 Events.pages.Corrupted Depths.text	1	低语之湖	Fogbound Caverns	Lake of Whispers	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Character Classes.pages.Artificer.text	21	艾迪尔	Lorai	Aedir	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Character Classes.pages.Artificer.text	22	洛莱	Nalvani	Lorai	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Character Classes.pages.Artificer.text	23	纳尔瓦尼	Aedir	Nalvani	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Character Classes.pages.Artificer.text	24	阿卡泽娅	Maziran	Akazea	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Character Classes.pages.Artificer.text	25	马兹兰	Akazea	Maziran	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Character Classes.pages.Barbarian.text	8	普里莫迪斯	Casia	Primordis	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Character Classes.pages.Barbarian.text	9	Casia	Primordis	Casia	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Character Classes.pages.Barbarian.text	12	西格纳拉	Daemos	Signara	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Character Classes.pages.Barbarian.text	13	戴莫斯	Signara	Daemos	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Character Classes.pages.Monk.text	2	低地堡垒	Waerd	Lowlands	manual
ember.crucible-adventure.json	entries.Ember Early Access.journals.Character Classes.pages.Monk.text	3	瓦尔德	Lowlands	Waerd	manual
ember.crucible-adventure.json	entries.Ember Early Access.journals.Character Classes.pages.Monk.text	4	奥肯加德	Oaken	Oakengarde	manual
ember.crucible-adventure.json	entries.Ember Early Access.journals.Character Classes.pages.Monk.text	5	奥肯	Oakengarde	Oaken	manual
ember.crucible-adventure.json	entries.Ember Early Access.journals.Character Classes.pages.Paladin.text	10	辛达里克贤者	Burnished Hand	Cindaric Sages	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Character Classes.pages.Paladin.text	11	辉手	Cindaric Sages	Burnished Hand	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Character Classes.pages.Ranger.text	14	血林	Sanguinaries	Bloodwoods	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Character Classes.pages.Ranger.text	15	赤血会	Bloodwoods	Sanguinaries	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Character Classes.pages.Ranger.text	16	辉核森林	Strider	Corebright Forest	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Character Classes.pages.Ranger.text	17	疾行者	Corebright Forest	Strider	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Character Classes.pages.Ranger.text	22	冰霜飘流	Fikost	Rimedrift	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Character Classes.pages.Ranger.text	23	菲科斯特	Rimedrift	Fikost	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Character Classes.pages.Sorcerer.text	20	血林	Sanguinaries	Bloodwoods	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Character Classes.pages.Sorcerer.text	21	赤血会	Bloodwoods	Sanguinaries	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Cosmos.pages.Sea of Stars.contentGamemaster	6	里凡	Star Mages	Rhivan	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Cosmos.pages.Sea of Stars.contentGamemaster	7	星辰法师	Rhivan	Star Mages	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Cosmos.pages.The Weave.contentGamemaster	2	里凡	Star Mages	Rhivan	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Cosmos.pages.The Weave.contentGamemaster	3	星辰法师	Rhivan	Star Mages	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Cosmos.pages.The Weave.text	3	维恩阿薇	Elder Gods	Ven'avé	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Cosmos.pages.The Weave.text	4	上古女神	Ven'avé	Elder Gods	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Cosmos.pages.Wildsong.text	5	奥尔丹	Cindaric Sages	Ordain	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Cosmos.pages.Wildsong.text	6	辛达里克贤者	Ordain	Cindaric Sages	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Deities.pages.Elder Gods.contentGamemaster	8	艾迪尔	Theroch	Aedir	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Deities.pages.Elder Gods.contentGamemaster	9	Theroch	Aedir	Theroch	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Deities.pages.Elder Gods.text	3	里凡	Star Mages	Rhivan	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Deities.pages.Elder Gods.text	4	星辰法师	Rhivan	Star Mages	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Deities.pages.Finor.contentGamemaster	0	寰宇	Elder Gods	Cosmos	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Deities.pages.Finor.contentGamemaster	1	上古之神	Cosmos	Elder Gods	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Deities.pages.Finor.contentGamemaster	2	阿肯	Wyrms	Akon	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Deities.pages.Finor.contentGamemaster	3	巨龙	Akon	Wyrms	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Deities.pages.Finor.contentGamemaster	9	卢克萨鲁姆	Celestials	Luxarum	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Deities.pages.Finor.contentGamemaster	10	天界生物	Luxarum	Celestials	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Deities.pages.Kinalathi.contentGamemaster	0	深渊裂斩	Outer Gods	Abyssal Shear	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Deities.pages.Kinalathi.contentGamemaster	2	外神	Abyssal Shear	Outer Gods	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Deities.pages.Ravela.text	6	骸骨领	Lumek	Ossarchate	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Deities.pages.Ravela.text	7	卢梅克	Ossarchate	Lumek	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Deities.pages.Spectra.text	7	里瓦	Star Academy	Rhivan	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Deities.pages.Spectra.text	9	星辰学院	Rhivan	Star Academy	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Deities.pages.Spectra.text	12	西格纳拉	Daemos	Signara	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Deities.pages.Spectra.text	13	戴莫斯	Signara	Daemos	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Deities.pages.Vesper.text	2	野兽时代	Zeph	Age of Beasts	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Deities.pages.Vesper.text	3	泽夫	Age of Beasts	Zeph	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Deities.pages.Vhismara.contentGamemaster	0	深渊裂斩	Cosmos	Abyssal Shear	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Deities.pages.Vhismara.contentGamemaster	1	寰宇	Abyssal Shear	Cosmos	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Ember's Bounty.pages.Gameplay Details.text	3	游戏室	Wind Raider Boarder	The Game Room	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Ember's Bounty.pages.Gameplay Details.text	4	风袭者	The Game Room	Wind Raider Boarder	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Ember's Bounty.pages.Kasta's Alterations.text	0	修补	None	None	auto
ember.crucible-adventure.json	entries.Ember Early Access.journals.Ember's Bounty.pages.Kasta's Alterations.text	1	狂热邪教徒	None	None	auto
