JSON Path,Status,Involved Terms,Original,Translation
root.entries.Menace Under Otari.scenes.Floor 2.notes.16. Mermaid Fountain,🆗 保留,16. Mermaid Fountain->16. 美人鱼喷泉,16. Mermaid Fountain,16. 美人鱼喷泉
root.entries.Menace Under Otari.scenes.Floor 1.name,⚠️ 修正,Floor 1->第一层,Floor 1,第一层
root.entries.Menace Under Otari.scenes.Floor 2.notes.15. Xulgath Cave,🆗 保留,15. Xulgath Cave->15. 地蜥人洞穴,15. Xulgath Cave,15. 地蜥人洞穴
root.entries.Menace Under Otari.scenes.Floor 1.notes.10. Abadar's Vault,🆗 保留,10. Abadar's Vault->10. 阿巴达尔的宝库,10. Abadar's Vault,10. 阿巴达尔的宝库
root.entries.Menace Under Otari.scenes.Floor 2.notes.19. Mushroom Grotto,🆗 保留,19. Mushroom Grotto->19. 蘑菇洞穴,19. Mushroom Grotto,19. 蘑菇洞穴
root.entries.Menace Under Otari.scenes.Floor 2.notes.18. Dragonkeeper,🆗 保留,18. Dragonkeeper->18. 守龙者,18. Dragonkeeper,18. 守龙者
root.entries.Menace Under Otari.scenes.Floor 2.notes.17. Kobold Warren,🆗 保留,17. Kobold Warren->17. 狗头人宿舍,17. Kobold Warren,17. 狗头人宿舍
root.entries.Pirate King's Plunder.journals.Introduction.pages.Pirate King's Plunder.name,⚠️ 修正,Pirate King's Plunder->海贼王的财宝,Pirate King's Plunder,海盗王的财宝
root.entries.Menace Under Otari.scenes.Floor 2.notes.14. Elements of Chaos,🆗 保留,14. Elements of Chaos->14. 混乱的元素,14. Elements of Chaos,14. 混乱的元素
root.entries.Pirate King's Plunder.journals.Adventure Steps.name,⚠️ 修正,Adventure Steps->冒险步骤,Adventure Steps,冒险步骤
root.entries.Menace Under Otari.scenes.Floor 2.notes.12. Kobold Lookouts,⚠️ 修正,12. Kobold Lookouts->12. 还是狗头人和陷阱,12. Kobold Lookouts,12. 狗头人岗哨
root.label,⚠️ 修正,Pathfinder Beginner Box->Pathfinder新手包,Pathfinder Beginner Box,Pathfinder新手包
root.entries.Pirate King's Plunder.journals.Introduction.pages.Combat Reference.name,⚠️ 修正,Combat Reference->战斗参考,Combat Reference,战斗参考
root.entries.Menace Under Otari.scenes.Landing.name,⚠️ 修正,Landing->首页,Landing,首页
root.entries.Menace Under Otari.scenes.Otari.notes.Otari Garrison,✅ 新译,Otari->奥塔里,Otari Garrison,奥塔里卫戍所
root.entries.Menace Under Otari.scenes.Otari.notes.Otari Market,✅ 新译,Otari->奥塔里,Otari Market,奥塔里集市
root.entries.Pirate King's Plunder.journals.Adventure Steps.pages.#22.text,⚠️ 修正,check->检定 | skill->技能,"<p class=""box-text narrative first"">Now that the statue is slowed down, you can try to insert the key to see if it might help defeat this menace.</p><p>Inserting the key requires you to attempt an DC 20 Athletics Skill Check to grapple the statue. Roll [[/r 1d20+7 #Athletics]]. If your result is equal to or greater than the DC to grapple the statue, it falls to the ground, deactivated.</p><p>If you succeed, you defeat the statue! Go to Entry @UUID[JournalEntry.84g4A22otQbtAqYu.JournalEntryPage.HEr7Q5hCU4sUu9vG]{#06}.</p><p>If you fail, continue the fight. Return to Entry @UUID[JournalEntry.84g4A22otQbtAqYu.JournalEntryPage.Eds15d6ZIMNit3Ke]{#19}.</p>","<p class=""box-text narrative first"">现在雕像的速度慢了下来，你可以尝试插入钥匙，看看这是否能有助于击败这个威胁。</p><p>插入钥匙需要你尝试一次 DC 20 的运动 技能 检定 来擒拿雕像。投掷 [[/r 1d20+7 #Athletics]]。如果你的结果等于或大于擒拿雕像的 DC，它就会倒在地上并停止运作。</p><p>如果你成功，你就击败了雕像！转到条目 @UUID[JournalEntry.84g4A22otQbtAqYu.JournalEntryPage.HEr7Q5hCU4sUu9vG]{#06}。</p><p>如果你失败，继续战斗。回到条目 @UUID[JournalEntry.84g4A22otQbtAqYu.JournalEntryPage.Eds15d6ZIMNit3Ke]{#19}。</p>"
root.entries.Menace Under Otari.scenes.Floor 2.name,⚠️ 修正,Floor 2->第二层,Floor 2,第二层
root.entries.Menace Under Otari.scenes.Otari.notes.Otari Graveyard,✅ 新译,Otari->奥塔里,Otari Graveyard,奥塔里墓地
root.entries.Pirate King's Plunder.description,⚠️ 修正,Pirate King's Plunder->海贼王的财宝 | adventure->冒险 | player->玩家,"<p>Pirate King's Plunder is a simple adventure which requires no GM and can be completed by a single player.</p><p>In Pirate King's Plunder, you won't advance through the story by reading the journals in chronological order. Instead, at the end of each entry, you'll be presented with a set of choices. The decisions you make will lead you to different entries, which you can follow simply by clicking through the linked journal entries. For convenience, we have included a helpful journal entry to keep track of your notes and allow you to conveniently roll dice for your attacks and statistics.</p>",<p>《海贼王的财宝》是一场简单的冒险，不需要GM，单名玩家即可完成。</p><p>在海贼王的财宝中，你不需要通过按时间顺序阅读日志来推进故事。相反，在每个条目的末尾，你将面临一系列选择。你所做的决定将引导你进入不同的条目，你只需点击链接的日志条目即可继续。为了方便起见，我们提供了一个实用的日志条目，用于记录笔记，并让你能方便地为攻击和各项数值掷骰。</p>
root.entries.Menace Under Otari.macros.Area 12 - Barricade.name,✅ 新译,area->区域,Area 12 - Barricade,区域 12 - 路障
root.entries.Menace Under Otari.macros.Area 15 - Freshly Dug Tunnel.name,✅ 新译,area->区域,Area 15 - Freshly Dug Tunnel,区域 15 - 新挖的隧道
root.entries.Menace Under Otari.macros.Area 04 - Barricade.name,✅ 新译,area->区域,Area 04 - Barricade,区域 04 - 路障
root.entries.Menace Under Otari.playlists.Exploration Loops.sounds.The Occasional Drip.name,⚠️ 修正,The Occasional Drip->时有时无的滴水声,The Occasional Drip,时有时无的滴水声
root.entries.Menace Under Otari.scenes.Floor 2 (Original).name,⚠️ 修正,Floor 2->第二层,Floor 2 (Original),第二层（原版）
root.entries.Menace Under Otari.playlists.Floor 1 Exploration Ambience.description,⚠️ 修正,exploration->探索,Pre-mixed individual tracks for exploration,用于探索的预混独立音轨
root.entries.Pirate King's Plunder.journals.Adventure Steps.pages.#09.text,⚠️ 修正,Creating Your Hero->创建你的角色 | adventure->冒险 | adventure->冒险 | character->角色 | treasure->宝藏 | treasure->宝藏 | coins->钱币,"<p class=""box-text narrative first"">You returned to town safely and collect your reward for killing the wolf—10 gold!</p><p>But did you collect all of this adventure's treasure? Besides the reward, you can find coins and treasure worth 40 more gold during this adventure. Remember that 10 copper is equal to 1 silver and 10 silver is equal to 1 gold.</p><p>If you want to try again, you can return to Entry @UUID[JournalEntry.84g4A22otQbtAqYu.JournalEntryPage.dHOsZe4eRCxxK9Gb]{#01} and start over from the beginning.</p><p>You might also want to go straight to building your own character for future adventures. If so, go to @JournalEntry[KIpNnMtah73eyPC8]{Creating Your Hero} to begin the journey.</p>","<p class=""box-text narrative first"">你安全地回到了镇上，并领取了杀狼的奖励——10金币！</p><p>但你收集了这次冒险中的所有宝藏吗？除了奖励之外，你还可以在这次冒险中找到价值另外40金币的钱币和宝藏。记住，10铜币等于1银币，10银币等于1金币。</p><p>如果你想再次尝试，可以回到条目@UUID[JournalEntry.84g4A22otQbtAqYu.JournalEntryPage.dHOsZe4eRCxxK9Gb]{#01}，从头开始。</p><p>你可能也想直接为未来的冒险创建你自己的角色。如果是这样，请前往@JournalEntry[KIpNnMtah73eyPC8]{创建你的角色}开始旅程。</p>"
root.entries.Menace Under Otari.playlists.Floor 2 Mermaid Fountain.name,⚠️ 修正,Floor 2 Mermaid Fountain->第二层美人鱼喷泉,Floor 2 Mermaid Fountain,第二层美人鱼喷泉
root.entries.Menace Under Otari.scenes.Otari.notes.Otari Fishery,✅ 新译,Otari Fishery->奥塔里渔场,Otari Fishery,奥塔里渔场
root.entries.Pirate King's Plunder.journals.Introduction.name,⚠️ 修正,Introduction->介绍,Introduction,介绍
root.entries.Menace Under Otari.playlists.Otari Wharf.name,⚠️ 修正,Otari Wharf->奥塔里码头,Otari Wharf,奥塔里码头
root.entries.Menace Under Otari.playlists.Floor 1 Exploration Ambience.name,⚠️ 修正,Floor 1 Exploration Ambience->第一层探索环境音,Floor 1 Exploration Ambience,第一层探索环境音
root.entries.Pirate King's Plunder.journals.Adventure Steps.pages.#24.text,⚠️ 修正,turn->回合,"<p class=""box-text narrative first"">Looking around, you notice a narrow crack in the wall, just above the curtain of moss. Water seems to be dripping out from the crack, and it looks wide enough that you might be able to squeeze inside. What do you do?</p><p>If you ignore the crack and turn to head down the passageway, go to Entry @UUID[JournalEntry.84g4A22otQbtAqYu.JournalEntryPage.Aj3k03uAUj6kb0OV]{#10}.</p><p>If you crawl into the crack, go to Entry @UUID[JournalEntry.84g4A22otQbtAqYu.JournalEntryPage.h6jHD9J3VD3Auxo1]{#12}.</p>","<p class=""box-text narrative first"">环顾四周，你注意到墙上有一道狭窄的裂缝，就在那帘苔藓上方。水似乎正从裂缝中滴出，它看上去足够宽，也许可以让你挤进去。你要怎么做？</p><p>如果你无视这道裂缝，转身沿着通道走下去，转到条目@UUID[JournalEntry.84g4A22otQbtAqYu.JournalEntryPage.Aj3k03uAUj6kb0OV]。</p><p>如果你爬进裂缝，转到条目@UUID[JournalEntry.84g4A22otQbtAqYu.JournalEntryPage.h6jHD9J3VD3Auxo1]。</p>"
root.entries.Menace Under Otari.playlists.Floor 1 Exploration Ambience.sounds.Deeds Done In Darkness.name,⚠️ 修正,Deeds Done In Darkness->黑暗中的行进,Deeds Done In Darkness,黑暗中的行径
root.entries.Menace Under Otari.playlists.Floor 2 Exploration Ambience.sounds.Drones In The Deep.name,⚠️ 修正,Drones In The Deep->地底的低吟,Drones In The Deep,地底的低吟
root.entries.Menace Under Otari.playlists.Floor 2 Exploration Ambience.sounds.Drones In The Deep.description,⚠️ 修正,,"Deep, resonant harmonics and faint instrumentation.",深沉、共鸣的和声与微弱的乐器声。
root.entries.Menace Under Otari.playlists.Floor 2 Soggy Crossroads.name,⚠️ 修正,Floor 2 Soggy Crossroads->第二层浸水的路口,Floor 2 Soggy Crossroads,第二层浸水的路口
root.entries.Pirate King's Plunder.journals.Adventure Steps.pages.#21.text,⚠️ 修正,,"<p class=""box-text narrative first"">You look around but fail to spot anything of interest. With no other way to go, you head down the corridor that leads off to the left. You notice a faint breeze as you make your way down that tunnel.</p><p>Go to Entry @UUID[JournalEntry.84g4A22otQbtAqYu.JournalEntryPage.Aj3k03uAUj6kb0OV]{#10}.</p>","<p class=""box-text narrative first"">你环顾四周，但没发现任何值得注意的地方。既然没有别的路可走，你便沿着通往左侧的走廊走去。当你沿着隧道前行时，你注意到了一阵微风。</p><p>转到条目@UUID[JournalEntry.84g4A22otQbtAqYu.JournalEntryPage.Aj3k03uAUj6kb0OV]。</p>"
root.entries.Menace Under Otari.playlists.Floor 1 Exploration Ambience.sounds.Deeds Done In Darkness.description,⚠️ 修正,,"Soft, periodic instrumentation to evoke a feeling of sneaking through dangerous territory",轻柔、周期性的乐器演奏，唤起潜行穿过危险地带的感觉。
root.entries.Menace Under Otari.playlists.Otari Fishery.sounds.Otari Fishery.name,🆗 保留,Otari Fishery->奥塔里渔场,Otari Fishery,奥塔里渔场 Otari Fishery
root.entries.Menace Under Otari.playlists.Soundboard Loops.sounds.The Occasional Drip.name,⚠️ 修正,The Occasional Drip->时有时无的滴水声,The Occasional Drip,时有时无的滴水声
root.entries.Menace Under Otari.playlists.Floor 2 Soggy Crossroads.sounds.Watery Grave.name,⚠️ 修正,Watery Grave->水中坟墓,Watery Grave,水中坟墓
root.entries.Menace Under Otari.playlists.Floor 2 Soggy Crossroads.sounds.Deeds Done In Darkness.name,⚠️ 修正,Deeds Done In Darkness->黑暗中的行进,Deeds Done In Darkness,暗中行事
root.entries.Menace Under Otari.playlists.Floor 2 Exploration Ambience.name,⚠️ 修正,Floor 2 Exploration Ambience->第二层探索环境音,Floor 2 Exploration Ambience,第二层探索环境音
root.entries.Menace Under Otari.playlists.Floor 2 Mermaid Fountain.sounds.The Mermaid Fountain Loop.name,⚠️ 修正,The Mermaid Fountain Loop->美人鱼喷泉循环,The Mermaid Fountain Loop,美人鱼喷泉循环
root.entries.Menace Under Otari.playlists.Soundboard Loops.sounds.Zolgran Plotting.name,⚠️ 修正,Zolgran Plotting->佐尔甘的阴谋,Zolgran Plotting,佐尔甘的阴谋
root.entries.Menace Under Otari.playlists.Exploration Loops.sounds.The Occasional Rat.name,⚠️ 修正,The Occasional Rat->时有时无的老鼠动静,The Occasional Rat,时有时无的老鼠动静
root.entries.Menace Under Otari.playlists.Floor 2 Soggy Crossroads.description,⚠️ 修正,Floor 2->第二层 | cover->掩蔽,A mix of ambience to cover the soggy crossroads region of Floor 2.,用于掩蔽第二层潮湿十字路口区域的混合环境音。
root.entries.Menace Under Otari.playlists.Soundboard Loops.sounds.The Occasional Rat.name,⚠️ 修正,The Occasional Rat->时有时无的老鼠动静,The Occasional Rat,时有时无的老鼠动静
root.entries.Menace Under Otari.playlists.Soundboard Loops.name,⚠️ 修正,Soundboard Loops->音板循环,Soundboard Loops,音板循环
root.entries.Menace Under Otari.playlists.Soundboard Loops.sounds.Watery Grave.name,⚠️ 修正,Watery Grave->水中坟墓,Watery Grave,水中坟墓
root.entries.Menace Under Otari.scenes.Floor 1 (Original).name,⚠️ 修正,Floor 1->第一层,Floor 1 (Original),第一层（原版）
root.entries.Menace Under Otari.playlists.Dragon Soundboard.description,⚠️ 修正,encounter->遭遇,Sounds used for the encounter with the Green Dragon Wyrmling,用于绿龙雏龙遭遇的声音
root.entries.Menace Under Otari.playlists.Dragon Soundboard.sounds.Wyrmling Growl 3.name,⚠️ 修正,Wyrmling Growl 3->雏龙咆哮 3,Wyrmling Growl 3,雏龙咆哮 3
root.entries.Menace Under Otari.playlists.Dragon Soundboard.sounds.Wyrmling Breath Weapon 03.name,⚠️ 修正,Wyrmling Breath Weapon 03->雏龙龙息 03,Wyrmling Breath Weapon 03,雏龙龙息 03
root.entries.Menace Under Otari.playlists.Dragon Soundboard.sounds.Wyrmling Growl Distant 03.name,⚠️ 修正,Wyrmling Growl Distant 03->远方的雏龙咆哮 03,Wyrmling Growl Distant 03,远方的雏龙咆哮 03
root.entries.Menace Under Otari.playlists.Dragon Soundboard.sounds.Wyrmling Breath Weapon 01.name,⚠️ 修正,Wyrmling Breath Weapon 01->雏龙龙息 01,Wyrmling Breath Weapon 01,雏龙龙息 01
root.entries.Menace Under Otari.playlists.Dragon Soundboard.sounds.Wyrmling Growl Distant 01.name,⚠️ 修正,Wyrmling Growl Distant 01->远方的雏龙咆哮 01,Wyrmling Growl Distant 01,远方的雏龙咆哮 01
root.entries.Menace Under Otari.playlists.Dragon Soundboard.sounds.Wyrmling Breath Weapon 02.name,⚠️ 修正,Wyrmling Breath Weapon 02->雏龙龙息 02,Wyrmling Breath Weapon 02,雏龙龙息 02
root.entries.Menace Under Otari.playlists.Dragon Soundboard.sounds.Wyrmling Growl 1.name,⚠️ 修正,Wyrmling Growl 1->雏龙咆哮 1,Wyrmling Growl 1,雏龙咆哮 1
root.entries.Menace Under Otari.playlists.Soundboard Loops.sounds.Irritated Xulgath Noises.name,⚠️ 修正,Irritated Xulgath Noises->恼怒的地蜥人吵闹声,Irritated Xulgath Noises,恼怒的地蜥人吵闹声
root.entries.Pirate King's Plunder.journals.Adventure Steps.pages.#17.text,⚠️ 修正,Creating Your Hero->创建你的角色 | adventure->冒险 | character->角色,"<p class=""box-text narrative first"">Your vision grows dark as life leaves your body. In your final moments, you can’t help but think that this is not how stories should end. Maybe the next hero will fare better in this deadly place...</p><p>Although you have died, there are still adventures to be had. You can start this adventure over by returning to Entry @UUID[JournalEntry.84g4A22otQbtAqYu.JournalEntryPage.dHOsZe4eRCxxK9Gb]{#01}. You are restored to full Hit Points, but so are all of the foes that you have faced. You must explore and face whatever dangers await you all over again.</p><p>Alternatively, you can start making your own character to play in adventures with others. Go to @JournalEntry[KIpNnMtah73eyPC8]{Creating Your Hero} to begin designing your very own hero!</p>","<p class=""box-text narrative first"">随着生命流逝，你的视线变得昏暗。在最后的时刻，你忍不住心想，故事不该就这样结束。也许下一位英雄能在这个致命的地方表现得更好……</p><p>虽然你已经牺牲，但仍有冒险在等着你。你可以通过回到条目 @UUID[JournalEntry.84g4A22otQbtAqYu.JournalEntryPage.dHOsZe4eRCxxK9Gb]{#01} 来重新开始这段 冒险。你的生命值将恢复满，但你面对过的所有敌人也同样如此。你必须重新探索并面对再次等待着你的一切危险。</p><p>或者，你可以开始创建自己的 角色 来与其他玩家一起进行冒险。前往 @JournalEntry[KIpNnMtah73eyPC8]{创建你的角色} 开始设计你专属的英雄吧！</p>"
root.entries.Menace Under Otari.playlists.The Cinder Rat.name,✅ 新译,Cinder Rat->煤渣鼠,The Cinder Rat,煤渣鼠
root.entries.Menace Under Otari.playlists.Otari Wharf.sounds.Otari Seaside.name,⚠️ 修正,Otari Seaside->奥塔里海滩,Otari Seaside,奥塔里海滩
root.entries.Menace Under Otari.actors.Kobold Trapmaster.items.Leather Armor.name,✅ 新译,armor->护甲,Leather Armor,皮甲 护甲
root.entries.Menace Under Otari.actors.Kobold Trapmaster.tokenName,🆗 保留,Kobold Trapmaster->狗头人陷阱大师,Kobold Trapmaster,狗头人陷阱大师
root.entries.Menace Under Otari.macros.Area 14- Cinder Rat.name,✅ 新译,Cinder Rat->煤渣鼠 | area->区域,Area 14- Cinder Rat,区域 14- 煤渣鼠
root.entries.Menace Under Otari.playlists.Dragon Soundboard.sounds.Wyrmling Growl Distant 02.name,⚠️ 修正,Wyrmling Growl Distant 02->远方的雏龙咆哮 02,Wyrmling Growl Distant 02,远方的雏龙咆哮 02
root.entries.Menace Under Otari.playlists.Exploration Loops.name,⚠️ 修正,Exploration Loops->探索循环,Exploration Loops,探索循环
root.entries.Menace Under Otari.playlists.Otari Fishery.name,⚠️ 修正,Otari Fishery->奥塔里渔场,Otari Fishery,奥塔里渔场
root.entries.Menace Under Otari.actors.Kobold Trapmaster.items.Sneak Attack.name,✅ 新译,attack->攻击,Sneak Attack,潜行 攻击
root.entries.Menace Under Otari.actors.Kobold Boss Zolgran.tokenName,✅ 新译,kobold->狗头人,Kobold Boss Zolgran,狗头人 首领佐尔格兰
root.entries.Menace Under Otari.playlists.Dragon Soundboard.name,⚠️ 修正,Dragon Soundboard->巨龙音板,Dragon Soundboard,巨龙音板
root.entries.Pirate King's Plunder.journals.Adventure Steps.pages.#16.text,⚠️ 修正,falling->坠落 | bonus->加值 | check->检定 | check->检定 | check->检定 | check->检定 | check->检定 | check->检定 | skill->技能 | skill->技能 | skill->技能 | skill->技能 | skill->技能 | skill->技能 | skill->技能 | rest->休息 | time->时代,"<p class=""box-text narrative first"">In the center of the river is a pillar of stone that looks like it’s been submerged for a long time. You might be able to use it as a stepping-stone to jump across the river. However, you could also try to swim across.</p><p>Getting to the other side of the river requires a Skill Check. To attempt a skill check, roll a d20 and add the bonus associated with the skill you’re trying to use. If the result is equal to or greater than the DC of the task, you succeed! In this case, you can use Athletics to either jump across or swim across.</p><p>Your Athletics skill check: [[/r 1d20+7 #Athletics]]</p><section class=""character-creation""><article><h3>Jump (DC 10)</h3><p>If you try to jump across, you must succeed at two DC10 Athletics skill checks in a row (one to jump to the pillar and another to jump to the other side). If you fail either check, you fall in and must swim the rest of the way to the other side.</p></article><article><h3>Swim (DC 15)</h3><p>If you try to swim across, you must succeed at two DC15 Athletics skill checks. But if you succeeded at the check to jump to the pillar before falling in the water, you only need to succeed at one Athletics check to swim across, since you were already halfway.</p></article></section><p>These checks could be dangerous. If you're in the water and fail too many Athletics checks to swim, you get swept downstream. Since the river leads deep underground, through long tunnels without air, you'll drown if you fail a total of three Athletics skill checks before you succeed and get out of the water.</p><p>If you fail three Athletics checks, you are dragged into the underground river and beat against the rocks. Go to Entry @UUID[JournalEntry.84g4A22otQbtAqYu.JournalEntryPage.vvHdmlShxCXYyelw]{#17}.</p><p>If you make it to the other side, you can make your way down the stairs. Go to Entry @UUID[JournalEntry.84g4A22otQbtAqYu.JournalEntryPage.DKDZReQDxqTz7sgu]{#03}.</p><p>If you instead decide to head back the way you came and try the other passage, go to Entry @UUID[JournalEntry.84g4A22otQbtAqYu.JournalEntryPage.zt9iBaumtu3CAHrD]{#15}.</p>","<p class=""box-text narrative first"">在河流中心有一根石柱，看起来已经被淹没了很长一段 时代。你也许可以用它作为跳过河流的垫脚石。不过，你也可以尝试游过去。</p><p>到达河流的另一侧需要进行一次 技能 检定。要尝试 技能 检定，请掷一个 d20 并加上与你尝试使用的 技能 相关的 加值。如果结果等于或大于该任务的 DC，你就成功了！在这种情况下，你可以使用运动（Athletics）来跳过去或游过去。</p><p>你的运动 技能 检定：[[/r 1d20+7 #Athletics]]</p><section class=""character-creation""><article><h3>跳跃 (DC 10)</h3><p>如果你尝试跳过去，你必须连续成功通过两次 DC 10 的运动 技能 检定（一次跳到石柱上，另一次跳到对岸）。如果你在任意一次 检定 中失败，你就会掉进水里，并且必须游完 休息 的路程到达对岸。</p></article><article><h3>游泳 (DC 15)</h3><p>如果你尝试游过去，你必须成功通过两次 DC 15 的运动 技能 检定。但如果你在 坠落 入水之前已经成功通过了跳到石柱上的 检定，你只需要成功通过一次运动 检定 即可游到对岸，因为你已经走了一半了。</p></article></section><p>这些检定可能很危险。如果你在水里且在游泳的运动检定中失败太多次，你就会被冲到下游。由于这条河流向地下深处，穿过没有空气的长长隧道，如果你在成功脱离水面之前总共失败了三次运动 技能 检定，你就会淹死。</p><p>如果你失败了三次运动检定，你会被拖入地下河并撞在岩石上。转到条目 @UUID[JournalEntry.84g4A22otQbtAqYu.JournalEntryPage.vvHdmlShxCXYyelw]{#17}。</p><p>如果你到达了对岸，你可以顺着楼梯往下走。转到条目 @UUID[JournalEntry.84g4A22otQbtAqYu.JournalEntryPage.DKDZReQDxqTz7sgu]{#03}。</p><p>如果你决定原路返回并尝试另一条通道，转到条目 @UUID[JournalEntry.84g4A22otQbtAqYu.JournalEntryPage.zt9iBaumtu3CAHrD]{#15}。</p>"
root.entries.Menace Under Otari.playlists.Dragon Soundboard.sounds.Wyrmling Growl 2.name,⚠️ 修正,Wyrmling Growl 2->雏龙咆哮 2,Wyrmling Growl 2,雏龙咆哮 2
root.entries.Menace Under Otari.playlists.Floor 2 Mermaid Fountain.sounds.Crypt Drone Loop.name,⚠️ 修正,Crypt Drone Loop->地穴杂音循环,Crypt Drone Loop,地穴嗡鸣循环
root.entries.Menace Under Otari.actors.Kobold Boss Zolgran.name,✅ 新译,kobold->狗头人,Kobold Boss Zolgran,狗头人 首领佐尔格兰
root.entries.Menace Under Otari.actors.Kobold Boss Zolgran.items.Detect Magic.name,✅ 新译,magic->魔法,Detect Magic,侦测 魔法
root.entries.Menace Under Otari.actors.Kobold Trapmaster.name,⚠️ 修正,Kobold Trapmaster->狗头人陷阱大师,Kobold Trapmaster,狗头人陷阱大师
root.entries.Menace Under Otari.actors.Kobold Boss Zolgran.items.Sneak Attack.name,✅ 新译,attack->攻击,Sneak Attack,潜行 攻击
root.entries.Menace Under Otari.playlists.The Cinder Rat.sounds.The Rat's On Fire.description,⚠️ 修正,,It almost sounds as if a rat just exploded out of a glass orb full of fire.,听起来简直就像是一只老鼠刚从一个装满火焰的玻璃球中爆裂而出。
root.entries.Menace Under Otari.actors.Mermaid Fountain.tokenName,🆗 保留,Mermaid Fountain->美人鱼喷泉,Mermaid Fountain,美人鱼喷泉
root.entries.Menace Under Otari.actors.Spike Trap.tokenName,🆗 保留,Spike Trap->尖刺陷阱,Spike Trap,尖刺陷阱
root.entries.Menace Under Otari.actors.Central Spears.tokenName,🆗 保留,Central Spears->中间矛陷阱,Central Spears,中间矛陷阱
root.entries.Menace Under Otari.actors.Falling Ceiling.items.Falling Block.name,✅ 新译,falling->坠落,Falling Block,坠落石块
root.entries.Menace Under Otari.actors.Central Spears.name,⚠️ 修正,Central Spears->中间矛陷阱,Central Spears,中间矛陷阱
root.entries.Menace Under Otari.actors.Mermaid Fountain.name,⚠️ 修正,Mermaid Fountain->美人鱼喷泉,Mermaid Fountain,美人鱼喷泉
root.entries.Menace Under Otari.actors.Falling Ceiling.items.Falling Stones.name,✅ 新译,falling->坠落,Falling Stones,坠落岩石
root.entries.Menace Under Otari.description,⚠️ 修正,adventure->冒险 | Otari->奥塔里,"<p>""Menace under Otari"" is designed to teach new Game Masters and players how to play Pathfinder using Foundry VTT. Each section of the adventure will teach new concepts and introduce features of the program, adding more and more to the game. Meanwhile, the other players each have an entire hero to roleplay as, learning how to use their abilities and how to succeed in the dangerous world that they find themselves exploring.</p>",<p>“奥塔里地底的威胁”旨在教导新的游戏主持人与玩家如何使用 Foundry VTT 游玩 Pathfinder。冒险的每个部分都将教授新的概念并介绍该程序的功能，为游戏增添越来越多的内容。与此同时，其他玩家将各自扮演一位完整的英雄，学习如何使用他们的能力，以及如何在他们所探索的危险世界中取得成功。</p>
root.entries.Menace Under Otari.actors.Spike Trap.name,⚠️ 修正,Spike Trap->尖刺陷阱,Spike Trap,尖刺陷阱
root.entries.Menace Under Otari.actors.Ezren.items.Detect Magic.name,✅ 新译,magic->魔法,Detect Magic,侦测 魔法
root.entries.Menace Under Otari.playlists.Dragon Soundboard.sounds.Wyrmling Growl 4.name,⚠️ 修正,Wyrmling Growl 4->雏龙咆哮 4,Wyrmling Growl 4,雏龙咆哮 4
root.entries.Menace Under Otari.actors.Kyra.tokenName,🆗 保留,Kyra->凯拉,Kyra,凯拉
root.entries.Menace Under Otari.actors.Ezren.items.School of Battle Magic.name,✅ 新译,magic->魔法,School of Battle Magic,战斗学派 魔法
